"Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"Noor Hussain Al-Malki","Qatar",17,1.55,43,"F",NA,"Doha (QAT)",0,0,0,0,"Athletics","Women's 100m"
"Rand Al-Mashhadani","Iraq",17,1.6,50,"F",1994-11-08,"BAGHDAD",0,0,0,0,"Archery","Women's Individual"
"Ahmed Mohamed Al-Merjabi","Oman",21,1.7,65,"M",1990-09-09,"Ibra (OMA)",0,0,0,0,"Athletics","Men's 400m"
"Ahmad Kh A Al-Molad","Saudi Arabia",24,NA,NA,"M",NA,"Jeddah (KSA)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Moukheld Al-Outaibi","Saudi Arabia",36,NA,NA,"M",NA,"Tazzzf (KSA)",0,0,0,0,"Athletics","Men's 5000m, Men's 10,000m"
"Fawaz Al-Shammari","Kuwait",35,NA,NA,"M",1977-03-04,"KUWAIT (KUW)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Majed Al-Tamimi","Saudi Arabia",40,NA,NA,"M",NA,"SAUDI ARABIA (KSA)",0,0,0,0,"Shooting","Men's Skeet"
"Ali Mohamed Al-Zinkawi","Kuwait",28,1.95,110,"M",NA,"KUWAIT (HUN)",0,0,0,0,"Athletics","Men's Hammer Throw"
"Mahmoud Alaa Eldin","Egypt",21,1.89,84,"M",1991-01-01,"",0,0,0,0,"Football","Men's Football"
"Marina Alabau Neira","Spain",26,1.64,55,"F",NA,"Sevilla (ESP)",0,0,0,0,"Sailing","Women's RS-X"
"Danielle Alakija","Fiji",16,1.82,71,"F",1996-03-05,"Hillingdon (GBR)",0,0,0,0,"Athletics","Women's 400m"
"Ali Salem Ahmed Faraj Alameri","United Arab Emirates",23,1.75,73,"M",1989-07-01,"",0,0,0,0,"Football","Men's Football"
"Yenew Alamirew","Ethiopia",22,1.78,57,"M",NA,"TILILI (ETH)",0,0,0,0,"Athletics","Men's 5000m"
"Noshad Alamiyan","Islamic Republic of Iran",20,1.7,65,"M",NA,"BABOL",0,0,0,0,"Table Tennis","Men's Singles"
"Mariem Alaoui Selsouli","Morocco",28,1.58,42,"F",1984-08-07,"MARRAKECH MEDINA (MAR)",0,0,0,0,"Athletics","Women's 1500m, Women's 5000m"
"Francisco Roman Alarcon Suarez","Spain",20,1.76,75,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Dhaher Alaryani","United Arab Emirates",39,NA,NA,"M",1972-11-12,"RAS ALKHAIMAH (UAE)",0,0,0,0,"Shooting","Men's Trap"
"Yousef Alaskari","Kuwait",18,1.75,65,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Swimming","Men's 200m Butterfly"
"Janice Alatoa","Vanuatu",23,1.66,55,"F",NA,"PORT VILA (VAN)",0,0,0,0,"Athletics","Women's 100m"
"Jordi Alba","Spain",23,1.7,66,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Azad Albarazi","Syrian Arab Republic",24,2.05,110,"M",1988-04-01,"SAUDI ARABIA (KSA)",0,0,0,0,"Swimming","Men's 100m Breaststroke"
"Michael Albasini","Switzerland",31,1.72,67,"M",NA,"Wil (SUI)",0,0,0,0,"Cycling-Road","Men's Individual Time Trial, Men's Road Race"
"Ruslan Albegov","Russian Federation",24,1.92,156,"M",NA,"VLADIKAVKAZ",0,0,0,0,"Weightliftng","Men's +105kg"
"Isil Alben","Turkey",26,1.72,62,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Samantha Albert","Jamaica",41,1.65,64,"F",NA,"Montreal (CAN)",0,0,0,0,"Equestrian","Individual Eventing, CARRAIG DUBH"
"Nely Alberto Francisca","Spain",29,1.78,81,"F",1983-02-07,"",0,0,0,0,"Handball","Women's Handball"
"Emiliano Albin","Uruguay",23,1.76,76,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Nicoleta Albu","Romania",23,1.83,76,"F",1988-10-08,"",0,0,0,0,"Rowing","Women's Eight"
"Dailenys Alcantara","Cuba",20,NA,NA,"F",1991-10-08,"Santiago de Cuba (CUB)",0,0,0,0,"Athletics","Women's Triple Jump"
"Arnold Alcolea","Cuba",29,NA,NA,"M",NA,"Santiago de Cuba (CUB)",0,0,0,0,"Cycling-Road","Men's Road Race"
"Kyle Alcorn","United States of America",27,1.85,74,"M",NA,"Fresno (USA)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"Yamile Aldama","Great Britain",39,1.72,62,"F",NA,"Havana (CUB)",0,0,0,0,"Athletics","Women's Triple Jump"
"Andrea Aldana Bennett","Guatemala",23,1.72,68,"F",NA,"GUATEMALA CITY (GUA)",0,0,0,0,"Sailing","Women's Laser Radial"
"Ibragim Aldatov","Ukraine",28,1.78,87,"M",1983-04-11,"BESLAN (RUS)",0,0,0,0,"Wrestling","Men's 84kg Freestyle"
"Fehaid Aldeehani","Kuwait",45,1.8,100,"M",1966-11-10,"KUWAIT (KUW)",0,0,0,0,"Shooting","Men's Trap, Men's Double Trap"
"Humaid Alderei","United Arab Emirates",21,NA,65,"M",NA,"MEKNAS",0,0,0,0,"Judo","Men's -66kg"
"David Alegre","Spain",27,1.84,75,"M",1984-06-09,"",0,0,0,0,"Hockey","Men's Hockey"
"Ramon Alegre","Spain",31,1.71,71,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Jannet Alegria Pena","Mexico",24,1.54,NA,"F",NA,"SAN JUAN DEL RIO (MEX)",0,0,0,0,"Taekwondo","Women's -49kg"
"Jo Aleh","New Zealand",26,1.71,60,"F",NA,"Auckland (NZL)",0,0,0,0,"Sailing","Women's 470"
"Eric Alejandro","Puerto Rico",26,NA,83,"M",NA,"New Jersey (USA)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"Virgilijus Alekna","Lithuania",40,1.99,135,"M",NA,"KUPISKIS (LTU)",0,0,0,0,"Athletics","Men's Discus Throw"
"Aleksandar Aleksandrov","Bulgaria",27,1.64,NA,"M",NA,"Sofia (BUL)",0,0,0,0,"Boxing","Men's Light Fly (49kg)"
"Aleksandar Aleksandrov","Azerbaijan",22,1.89,94,"M",1990-09-04,"",0,0,0,0,"Rowing","Men's Single Sculls"
"Dmitrii Aleksandrov","Kyrgyzstan",19,1.85,75,"M",1992-12-09,"Bishkek (KGZ)",0,0,0,0,"Swimming","Men's 200m Breaststroke"
"Artur Aleksanyan","Armenia",20,1.85,96,"M",NA,"Gyumri (ARM)",0,0,0,0,"Wrestling","Men's 96kg Greco-Roman"
"Sandra Aleksejeva","Latvia",21,1.64,62,"F",1991-03-05,"Kraslava (LAT)",0,0,0,0,"Cycling-BMX","Women's BMX"
"Denis Alekseyev","Russian Federation",24,1.86,75,"M",NA,"Leningrad (RUS)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"Aleksandar Aleksic","Serbia",20,1.88,89,"M",NA,"",0,0,0,0,"Canoe Sprint","Men's Kayak Four (K4) 1000m"
"Milan Aleksic","Serbia",26,1.97,100,"M",NA,"Beograd (SRB)",0,0,0,0,"Water Polo","Men's Water Polo"
"Todor Aleksiev","Bulgaria",29,2,96,"M",NA,"Plovdiv (BUL)",0,0,0,0,"Volleyball","Men's Volleyball"
"Ilya Aleksievich","Belarus",21,1.73,66,"M",1991-10-02,"",0,0,0,0,"Football","Men's Football"
"Octavio Alesi Gonzalez","Venezuela",25,1.75,75,"M",1986-10-11,"Barinas (VEN)",0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay"
"Ayanna Alexander","Trinidad and Tobago",30,1.71,60,"F",NA,"Port of Spain (TRI)",0,0,0,0,"Athletics","Women's Triple Jump"
"J'maal Alexander","Virgin Islands, British",18,NA,NA,"M",NA,"Tortola (IVB)",0,0,0,0,"Athletics","Men's 100m"
"Kineke Alexander","St Vincent and the Grenadines",26,1.78,65,"F",NA,"KIngstown (VIN)",0,0,0,0,"Athletics","Women's 400m"
"Dmitriy Alexanin","Kazakhstan",20,1.84,82,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Epee"
"Yevgeniy Alexeyev","Kazakhstan",34,1.85,85,"M",1977-11-12,"Shymkent (KAZ)",0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m"
"Alin Alexuc-Ciurariu","Romania",22,1.91,96,"M",1990-03-02,"Botosani (ROU)",0,0,0,0,"Wrestling","Men's 96kg Greco-Roman"
"Rafael Alfaro","El Salvador",20,1.85,80,"M",1992-04-02,"San Salvador (ESA)",0,0,0,0,"Swimming","Men's 400m Individual Medley"
"Sara Alflaij","Bahrain",17,1.7,72,"F",1995-03-08,"USA (USA)",0,0,0,0,"Swimming","Women's 50m Freestyle"
"Linda Algotsson","Sweden",40,1.58,53,"F",NA,"KRISTVALLA (SWE)",0,0,0,0,"Equestrian","Individual Eventing, Team Eventing, LA FAIR"
"Sara Algotsson Ostholt","Sweden",37,1.62,55,"F",1974-08-12,"KRISTVALLA (SWE)",0,1,0,1,"Equestrian","Individual Eventing, Team Eventing, WEGA"
"Hussain Jamaan Alhamdah","Saudi Arabia",29,NA,NA,"M",1983-04-04,"NAJRAN (KSA)",0,0,0,0,"Athletics","Men's 5000m"
"Ibrahem Alhasan","Kuwait",25,1.74,85,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Table Tennis","Men's Singles"
"Annabel Laure Ali","Cameroon",27,1.76,72,"F",1985-04-03,"GAROUA (CMR)",0,0,0,0,"Wrestling","Women's 72kg Freestyle"
"Belal Mansoor Ali","Bahrain",23,1.67,61,"M",NA,"KENYA (KEN)",0,0,0,0,"Athletics","Men's 800m, Men's 1500m"
"Kame Ali","Madagascar",27,1.9,83,"M",NA,"Namakia (MAD)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Lahoussine Ali","Morocco",37,1.76,68,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Foil"
"Liaqat Ali","Pakistan",28,NA,NA,"M",1983-06-08,"OKARA (PAK)",0,0,0,0,"Athletics","Men's 100m"
"Zourah Ali","Djibouti",17,NA,NA,"F",NA,"ALI SABIEH (DJI)",0,0,0,0,"Athletics","Women's 400m"
"Khalid Alibaba","Bahrain",15,1.65,60,"M",1996-06-09,"Manama (BRN)",0,0,0,0,"Swimming","Men's 100m Butterfly"
"Mirko Alilovic","Croatia",26,2,110,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"Elmir Alimzhanov","Kazakhstan",25,1.85,72,"M",1986-05-10,"",0,0,0,0,"Fencing","Men's Individual Epee"
"Alexey Alipov","Russian Federation",36,1.75,85,"M",1975-07-08,"Moscow (RUS)",0,0,0,0,"Shooting","Men's Trap"
"Ashraf Aliyev","Azerbaijan",26,1.75,74,"M",NA,"ABSHERON (AZE)",0,0,0,0,"Wrestling","Men's 74kg Freestyle"
"Hasan Aliyev","Azerbaijan",22,1.7,60,"M",NA,"GAZAKH (AZE)",0,0,0,0,"Wrestling","Men's 60kg Greco-Roman"
"Triin Aljand","Estonia",27,1.79,68,"F",1985-08-07,"Tallinn (EST)",0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Butterfly"
"Abdullah Abdulaziz Aljoud","Saudi Arabia",37,NA,NA,"M",1975-10-07,"ALQATIF (KSA)",0,0,0,0,"Athletics","Men's 5000m"
"Jasmine Alkhaldi","Philippines",29,1.65,55,"F",NA,"PARANAQUE  MM (PHI)",0,0,0,0,"Swimming","Women's 100m Freestyle"
"Agnese Allegrini","Italy",30,1.62,57,"F",1982-03-07,"Roma",0,0,0,0,"Badminton","Women's Singles"
"Dominique Allen","Great Britain",22,1.88,86,"F",1989-10-09,"",0,0,0,0,"Basketball","Women's Basketball"
"Elena Allen","Great Britain",40,1.69,67,"F",1972-12-07,"Moscow (RUS)",0,0,0,0,"Shooting","Women's Skeet"
"Joe Allen","Great Britain",22,1.7,65,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Sophie Allen","Great Britain",20,1.7,65,"F",NA,"Lincoln (GBR)",0,0,0,0,"Swimming","Women's 200m Individual Medley"
"Ade Alleyne-Forte","Trinidad and Tobago",23,1.8,73,"M",1988-11-10,"San Fernando (TRI)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"Andrique Allisop","Seychelles",19,1.71,NA,"M",1993-02-06,"Victoria (SEY)",0,0,0,0,"Boxing","Men's Light (60kg)"
"Bradley Ally","Barbados",25,1.83,73,"M",1986-12-11,"Bridgetown (BAR)",0,0,0,0,"Swimming","Men's 100m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley"
"Miguel Angel Almachi","Ecuador",27,1.69,55,"M",1985-02-05,"QUITO (ECU)",0,0,0,0,"Athletics","Men's Marathon"
"Nicolas Almagro","Spain",26,1.83,84,"M",NA,"",0,0,0,0,"Tennis","Men's Singles"
"Juma Almaktoum","United Arab Emirates",27,NA,NA,"M",NA,"DUBAI (UAE)",0,0,0,0,"Shooting","Men's Double Trap"
"Saeed Almaktoum","United Arab Emirates",35,NA,NA,"M",1976-01-10,"DUBAI (UAE)",0,0,0,0,"Shooting","Men's Skeet"
"Rose Mary Almanza","Cuba",20,NA,NA,"F",NA,"Camaguey (CUB)",0,0,0,0,"Athletics","Women's 800m, Women's 4 x 400m Relay"
"Ihab Almatbouli","Jordan",26,NA,NA,"M",1985-06-11,"AL BAQAH (JOR)",0,0,0,0,"Boxing","Men's Light Heavy (81kg)"
"Abdelaziz Sanqour Almazam","United Arab Emirates",23,1.82,63,"M",1989-07-05,"",0,0,0,0,"Football","Men's Football"
"Carlos Almeida","Portugal",23,1.82,87,"M",1988-04-08,"Lisboa (POR)",0,0,0,0,"Swimming","Men's 100m Breaststroke"
"Joao Carlos Almeida","Portugal",24,1.85,88,"M",1988-05-04,"Lisboa (POR)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Kaio Almeida","Brazil",27,1.74,74,"M",NA,"Joao Pessoa (BRA)",0,0,0,0,"Swimming","Men's 100m Butterfly, Men's 200m Butterfly, Men's 4x100m Medley Relay"
"Nair Almeida","Angola",28,1.8,64,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Manuel Almeida Campos","Portugal",31,1.63,NA,"M",1981-12-07,"PORTO (POR)",0,0,0,0,"Gymnstcs-Art","Men's Qualification"
"Johanna Almgren","Sweden",28,1.69,62,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Ghfran Almouhamad","Syrian Arab Republic",23,1.76,72,"F",1989-06-06,"Aleppo (SYR)",0,0,0,0,"Athletics","Women's 400m Hurdles"
"Misha Aloian","Russian Federation",23,1.64,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Fly (52kg)"
"Jessica Alonso Bernardo","Spain",28,1.72,65,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Jonathan Alonso Flete","Spain",21,1.75,NA,"M",1990-06-09,"JAMAO AL NORTE MOCA (DOM)",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"Kamel Alouini","Tunisia",24,1.87,86,"M",1988-06-07,"",0,0,0,0,"Handball","Men's Handball"
"Anthony Alozie","Australia",25,1.71,79,"M",NA,"Aba (NGR)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"Abbas Alqaisoum","Saudi Arabia",31,NA,94,"M",NA,"ALQATIF",0,0,0,0,"Weightliftng","Men's 94kg"
"Azza Alqasmi","Bahrain",27,NA,NA,"F",1985-12-02,"RIFFA (BRN)",0,0,0,0,"Shooting","Women's 50m Rifle 3 Positions"
"Abdullah Alrashidi","Kuwait",48,1.8,95,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Shooting","Men's Skeet"
"Talal Alrashidi","Kuwait",19,1.76,70,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Shooting","Men's Trap"
"Therese Alshammar","Sweden",34,1.8,65,"F",NA,"RASUNDA (SWE)",0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Freestyle"
"Julio Alsogaray","Argentina",32,1.81,84,"M",1980-11-04,"SAN PEDRO",0,0,0,0,"Sailing","Men's Laser"
"Ida Alstad","Norway",27,1.7,NA,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Maria Suelen Altheman","Brazil",23,1.75,78,"F",1988-12-08,"Sao Paulo",0,0,0,0,"Judo","Women's +78kg"
"Eniola Aluko","Great Britain",25,1.57,56,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Ever Alvarado","Honduras",20,1.7,70,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Luis Alvarez","Mexico",21,1.74,90,"M",NA,"MEXICALI",0,0,0,0,"Archery","Men's Individual, Men's Team"
"Sergio Alvarez Boulet","Cuba",32,NA,56,"M",1979-11-10,"Matanzas",0,0,0,0,"Weightliftng","Men's 56kg"
"Lazaro Alvarez Estrada","Cuba",21,NA,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Bantam (56kg)"
"Yuri Alvear","Colombia",26,1.74,70,"F",NA,"JAMUNDI VALLE (COL)",0,0,1,1,"Judo","Women's -70kg"
"Francisco Javier Alves","Spain",31,1.82,66,"M",1980-02-09,"CACERES (ESP)",0,0,0,0,"Athletics","Men's 5000m"
"Thiago Soares Alves","Brazil",26,1.94,88,"M",NA,"",0,0,0,0,"Volleyball","Men's Volleyball"
"Anna Alyabyeva","Kazakhstan",18,1.74,NA,"F",NA,"Astana (KAZ)",0,0,0,0,"Gymnstcs-Rhy","Individual All-Around"
"Saad Surour Alyassi","United Arab Emirates",22,1.73,64,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Darisleydis Amador","Cuba",24,NA,NA,"F",1988-01-01,"",0,0,0,0,"Canoe Sprint","Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
"Andrey Amador Bakkazakova","Costa Rica",25,1.81,72,"M",NA,"SAN RAMON (CRC)",0,0,0,0,"Cycling-Road","Men's Road Race"
"Mohammed Aman","Ethiopia",18,1.75,58,"M",1994-10-01,"Assela (ETH)",0,0,0,0,"Athletics","Men's 800m"
"Ranohon Amanova","Uzbekistan",18,1.74,61,"F",1994-08-03,"ANDIJAN (UZB)",0,0,0,0,"Swimming","Women's 200m Individual Medley"
"Dante Amaral","Brazil",31,2.01,86,"M",NA,"",0,0,0,0,"Volleyball","Men's Volleyball"
"Yadinys Amaris","Colombia",28,1.62,57,"F",1984-01-04,"AGUACHICA CESAR (COL)",0,0,0,0,"Judo","Women's -57kg"
"Pol Amat","Spain",34,1.83,78,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Doreen Amata","Nigeria",24,1.98,54,"F",1988-06-05,"Lagos (NGR)",0,0,0,0,"Athletics","Women's High Jump"
"Kim Amb","Sweden",22,1.77,86,"M",NA,"Solna (SWE)",0,0,0,0,"Athletics","Men's Javelin Throw"
"Eloise Amberger","Australia",25,1.65,NA,"F",NA,"Brisbane (AUS)",0,0,0,0,"SynchrnsdSwm","Women's Duets, Women's Teams"
"Serge Ambomo","Cameroon",26,NA,NA,"M",1986-02-07,"NGOKSA (CMR)",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"Harald Ambros","Austria",32,1.77,75,"M",NA,"Linz (AUT)",0,0,0,0,"Equestrian","Individual Eventing, O-FELTIZ"
"Nourhan Amer","Egypt",19,1.6,55,"F",1993-10-05,"MONOFIYA (EGY)",0,0,0,0,"Shooting","Women's 10m Air Rifle"
"Christine Amertil","Bahamas",32,1.68,54,"F",NA,"Nassau (BAH)",0,0,0,0,"Athletics","Women's 4 x 100m Relay"
"Alena Amialiusik","Belarus",23,1.69,53,"F",1989-06-02,"BOBRUISK (BLR)",0,0,0,0,"Cycling-Road","Women's Road Race"
"Al-Farouq Aminu","Nigeria",21,2.08,NA,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"Alade Aminu","Nigeria",24,2.1,NA,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"Eduarda Amorim","Brazil",25,1.86,84,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Vanessa Amoros Quiles","Spain",29,1.67,62,"F",1982-07-12,"",0,0,0,0,"Handball","Women's Handball"
"Nijel Amos","Botswana",18,1.79,60,"M",NA,"MAROBELA (BOT)",0,0,0,0,"Athletics","Men's 800m"
"Alberta Boatema Ampomah","Ghana",17,NA,80,"F",1994-03-11,"Accra (GHA)",0,0,0,0,"Weightliftng","Women's +75kg"
"Noureddine Amrabat","Morocco",25,1.78,81,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Marwa Amri","Tunisia",23,1.61,55,"F",1989-08-01,"Tunis (TUN)",0,0,0,0,"Wrestling","Women's 55kg Freestyle"
"Mohamed Amsif","Morocco",23,1.87,90,"M",1989-07-02,"",0,0,0,0,"Football","Men's Football"
"Kum Ae An","Democratic People's Republic  of Korea",32,1.6,52,"F",1980-03-06,"Pyongyang (PRK)",1,0,0,1,"Judo","Women's -52kg"
"Phara Anacharsis","France",28,1.77,66,"F",NA,"FORT DE FRANCE (FRA)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Tumua Anae","United States of America",23,1.8,70,"F",NA,"",0,0,0,0,"Water Polo","Women's Water Polo"
"Takamasa Anai","Japan",27,1.87,100,"M",1984-05-08,"OITA (JPN)",0,0,0,0,"Judo","Men's -100kg"
"Anis Ananenka","Belarus",26,1.76,65,"M",NA,"ZHLOBIN (BLR)",0,0,0,0,"Athletics","Men's 800m"
"Anton Anchin","Russian Federation",22,1.87,68,"M",NA,"BASHKIRIA (RUS)",0,0,0,0,"Swimming","Men's 200m Backstroke"
"David Andersen","Australia",32,2.12,102,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"Stine Andersen","Denmark",27,1.69,75,"F",NA,"NYKOBING SJAELLAND (DEN)",0,0,0,0,"Shooting","Women's 10m Air Rifle"
"Alyssa Anderson","United States of America",21,1.73,64,"F",NA,"Granite Bay (USA)",1,0,0,1,"Swimming","Women's 4x200m Freestyle Relay"
"Haley Anderson","United States of America",20,1.78,68,"F",NA,"Santa Clara (USA)",0,0,0,0,"Swimming","Women's 10km Marathon"
"Jenny-Lyn Anderson","Australia",19,1.62,NA,"F",NA,"Johannesburg (RSA)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Matthew Anderson","United States of America",25,2.08,93,"M",NA,"Buffalo (USA)",0,0,0,0,"Volleyball","Men's Volleyball"
"Rose Anderson","Great Britain",24,1.75,70,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Kim Andersson","Sweden",29,2.01,110,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"Mattias Andersson","Sweden",34,1.85,90,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"Isabellah Andersson","Sweden",31,1.7,55,"F",1980-12-11,"Kisii (KEN)",0,0,0,0,"Athletics","Women's Marathon"
"Elizabeth Andiego","Kenya",25,1.72,NA,"F",NA,"Nairobi (KEN)",0,0,0,0,"Boxing","Women's Middle (75kg)"
"Kozue Ando","Japan",30,1.64,57,"F",1982-09-07,"",0,0,0,0,"Football","Women's Football"
"Shunsuke Ando","Japan",21,1.85,79,"M",1990-10-08,"",0,0,0,0,"Football","Men's Football"
"Danail Andonov Petrov","Bulgaria",34,1.71,63,"M",1978-05-02,"KAZANLAK (BUL)",0,0,0,0,"Cycling-Road","Men's Road Race"
"Francisco Andrade","Portugal",32,1.72,77,"M",1980-06-07,"BRAZIL (BRA)",0,0,0,0,"Sailing","Men's 49er"
"Lady Andrade","Colombia",20,1.72,62,"F",1992-10-01,"",0,0,0,0,"Football","Women's Football"
"Marcia Yuleisi Andrades Mendoza","Venezuela",28,1.65,55,"F",NA,"Cumana (VEN)",0,0,0,0,"Wrestling","Women's 55kg Freestyle"
"Bjorn Andrae","Germany",31,2,97,"M",NA,"Berlin (GER)",0,0,0,0,"Volleyball","Men's Volleyball"
"Nilson Andre","Brazil",26,1.72,70,"M",NA,"Rio De Janeiro (BRA)",0,0,0,0,"Athletics","Men's 100m, Men's 4 x 100m Relay"
"Grigoriy Andreev","Russian Federation",36,1.8,70,"M",1976-07-01,"Bashkortostan (RUS)",0,0,0,0,"Athletics","Men's Marathon"
"Ekaterina Andreeva","Russian Federation",19,1.74,64,"F",1993-03-08,"VLADIMIR (RUS)",0,0,0,0,"Swimming","Women's 200m Individual Medley"
"Iuliia Andreeva","Kyrgyzstan",28,1.68,58,"F",1984-07-03,"Bishkek (KGZ)",0,0,0,0,"Athletics","Women's Marathon"
"Viktoriia Andreeva","Russian Federation",20,1.89,76,"F",NA,"Sankt",0,0,0,0,"Swimming","Women's 4x100m Freestyle Relay"
"Antonakis Andreou","Cyprus",37,1.73,68,"M",NA,"DEKELEIA (CYP)",0,0,0,0,"Shooting","Men's Skeet"
"Panagiota Andreou","Cyprus",16,1.62,55,"F",1995-10-11,"Paralimni (CYP)",0,0,0,0,"Shooting","Women's Skeet"
"Jake Andrewartha","Australia",22,1.96,120,"M",NA,"CLARE (AUS)",0,0,0,0,"Judo","Men's +100kg"
"Valerii Andriitsev","Ukraine",25,1.89,102,"M",NA,"Kyiv (UKR)",0,0,0,0,"Wrestling","Men's 96kg Freestyle"
"Matthieu Androdias","France",22,1.94,95,"M",1990-11-06,"",0,0,0,0,"Rowing","Men's Quadruple Sculls"
"Alona Andruk","Ukraine",25,1.7,56,"F",1987-11-06,"Kiev (UKR)",0,0,0,0,"Cycling-Road","Women's Road Race"
"Georgeta Andrunache","Romania",36,1.78,75,"F",NA,"",0,0,0,0,"Rowing","Women's Pair"
"Tamir Andryei","Mongolia",26,1.81,80,"M",NA,"Orkhon Province (MGL)",0,0,0,0,"Swimming","Men's 100m Freestyle"
"Juan Diego Angeloni","Argentina",34,1.68,60,"M",NA,"ROSARIO DEL TALA (ARG)",0,0,0,0,"Shooting","Men's 50m Rifle Prone"
"Ivo Serafimov Angelov","Bulgaria",27,1.64,60,"M",NA,"PERNIK (BUL)",0,0,0,0,"Wrestling","Men's 60kg Greco-Roman"
"Tonje Angelsen","Norway",22,NA,NA,"F",NA,"Trondheim (NOR)",0,0,0,0,"Athletics","Women's High Jump"
"Giuseppe Angilella","Italy",27,1.77,77,"M",NA,"Palermo (ITA)",0,0,0,0,"Sailing","Men's 49er"
"Matteo Angioletti","Italy",31,1.62,NA,"M",1980-08-11,"MONZA (ITA)",0,0,0,0,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Franka Anic","Slovenia",21,1.81,NA,"F",1991-05-02,"Split (CRO)",0,0,0,0,"Taekwondo","Women's -67kg"
"Vitaliy Anichkin","Kazakhstan",23,1.7,60,"M",1988-11-11,"Uralsk (KAZ)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"Vida Anim","Ghana",28,1.62,63,"F",1983-07-12,"Accra (GHA)",0,0,0,0,"Athletics","Women's 200m"
"Adil Annani","Morocco",32,1.72,56,"M",NA,"OLD AMLOUL (MAR)",0,0,0,0,"Athletics","Men's Marathon"
"Sajjad Anoushiravani Hamlabad","Islamic Republic of Iran",28,1.92,105,"M",1984-12-05,"ARDEBIL",0,0,0,0,"Weightliftng","Men's +105kg"
"Jennifer Anson","Palau",35,1.65,63,"F",1977-05-03,"New York (USA)",0,0,0,0,"Judo","Women's -63kg"
"Dora Antal","Hungary",18,1.68,60,"F",1993-09-09,"",0,0,0,0,"Water Polo","Women's Water Polo"
"Lissette Alexandra Antes Castillo","Ecuador",21,1.68,55,"F",1991-02-05,"LA LIBERTAD (ECU)",0,0,0,0,"Wrestling","Women's 55kg Freestyle"
"Carmelo Anthony","United States of America",28,2.03,104,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"Mark Anthony","Australia",22,1.87,90,"M",NA,"MALANG (INA)",0,0,0,0,"Judo","Men's -90kg"
"Seema Antil","India",29,NA,NA,"F",NA,"SONEPAT (IND)",0,0,0,0,"Athletics","Women's Discus Throw"
